time,open,high,low,close
1782850140,30532.75,30537.75,30531.25,30532.5
1782850200,30533.75,30533.75,30524.25,30527
1782850260,30528.25,30528.25,30504.5,30509
1782850320,30510.75,30516.75,30509,30510.25
1782850380,30510.5,30511.25,30504,30507
1782850440,30506.25,30513.25,30503.75,30505.75
1782850500,30505.5,30513,30502,30510.75
1782850560,30510.5,30510.75,30495.5,30497
1782850620,30497.75,30507.5,30497,30500.25
1782850680,30499.75,30513.25,30499.5,30508.25
1782850740,30508.25,30508.75,30502.25,30503
1782850800,30502.5,30502.5,30496.25,30501.75
1782850860,30501.25,30501.5,30495.25,30500
1782850920,30498,30505,30494,30504.25
1782850980,30504.25,30507.5,30502.25,30505
1782851040,30505,30507.75,30504,30505
1782851100,30504.75,30506,30503,30503.75
1782851160,30504.75,30506.5,30503,30505.25
1782851220,30506,30507,30503.5,30505.25
1782851280,30505.25,30507.75,30502.25,30505
1782851340,30505.25,30506.5,30502,30504.25
1782851400,30504,30510.5,30502.75,30508.5
1782851460,30508.25,30508.25,30499,30503.25
1782851520,30503.75,30504.5,30501.25,30502.5
1782851580,30502.75,30504.5,30501,30503.5
1782851640,30503.5,30503.75,30500.75,30500.75
1782851700,30500.5,30502,30499,30499
1782851760,30499.25,30499.75,30492.75,30493.75
1782851820,30494,30495.5,30491.75,30494.5
1782851880,30496,30502,30495.25,30499.25
1782851940,30498.75,30498.75,30494.5,30496
1782852000,30495,30495.75,30492.25,30493.5
1782852060,30494,30495.75,30492.25,30492.5
1782852120,30492.75,30494.5,30492,30493.25
1782852180,30493.75,30495.5,30493,30494.25
1782852240,30494.25,30497.5,30493,30496
1782852300,30495.75,30496,30494,30494.25
1782852360,30494.25,30494.75,30490.25,30493.5
1782852420,30494.25,30496,30491.25,30491.75
1782852480,30491.75,30492.25,30488.5,30491
1782852540,30490.75,30493.25,30489.25,30491.5
1782852600,30490.75,30494.5,30488,30489
1782852660,30488.75,30489.5,30484.75,30487
1782852720,30486.25,30490,30486,30489.25
1782852780,30489,30495.5,30488.75,30494
1782852840,30493,30493,30489,30491.25
1782852900,30490.75,30492.75,30488.25,30492.75
1782852960,30492.75,30495.25,30490,30495.25
1782853020,30494.75,30497.25,30494,30494.5
1782853080,30493.75,30497,30493.25,30496.25
1782853140,30495.25,30503,30495.25,30500.75
1782856800,30505.75,30525.5,30492.25,30523.5
1782856860,30523.25,30525.75,30498.75,30507
1782856920,30504.75,30516.25,30501.5,30516.25
1782856980,30518,30520.5,30506.25,30508
1782857040,30508.25,30517.25,30506.75,30514.5
1782857100,30515.25,30524.5,30515.25,30521.5
1782857160,30521.25,30524.75,30521,30523
1782857220,30523,30526.75,30520,30522.5
1782857280,30522.75,30528.5,30522.75,30527.25
1782857340,30526,30528.5,30516.25,30519.25
1782857400,30520,30520,30500,30508
1782857460,30508.25,30515.25,30507.75,30511.5
1782857520,30511,30514.75,30510,30511.5
1782857580,30515.5,30516,30508.25,30515.75
1782857640,30514.5,30518.5,30512.75,30516.25
1782857700,30515,30518,30514.75,30517.75
1782857760,30519.25,30522.75,30514.5,30520
1782857820,30520.5,30529.5,30520.5,30529.5
1782857880,30528.75,30536,30528.5,30532.5
1782857940,30530.75,30532.25,30524,30529.5
1782858000,30529.75,30535.25,30527.5,30531.25
1782858060,30531.25,30533.75,30526.25,30528.25
1782858120,30529,30530.75,30527.5,30530.75
1782858180,30531.25,30532,30527.5,30528.5
1782858240,30529.25,30530.75,30527.75,30527.75
1782858300,30527,30531.75,30526.5,30531.5
